Index,Symbol,Strike Price,Premium,Profit %,Delta,Expiration Date,Days to Expiration,Earnings Date,Earnings During Option,Days to Earnings
1,,155.00,3.50,2.26,0.25,2026-02-07,30,N/A,NO,N/A
2,,160.00,2.80,1.75,0.20,2026-02-07,30,N/A,NO,N/A
3,,165.00,2.10,1.27,0.15,2026-02-07,30,N/A,NO,N/A
4,AAPL,155.00,3.50,2.26,0.25,2026-02-07,30,2026-01-23,YES,15
5,AAPL,160.00,2.80,1.75,0.20,2026-02-07,30,2026-01-23,YES,15
6,AAPL,165.00,2.10,1.27,0.15,2026-02-07,30,2026-01-23,YES,15
7,AMZN,155.00,3.50,2.26,0.25,2026-02-07,30,2026-02-07,YES,30
8,AMZN,160.00,2.80,1.75,0.20,2026-02-07,30,2026-02-07,YES,30
9,AMZN,165.00,2.10,1.27,0.15,2026-02-07,30,2026-02-07,YES,30
10,GOOG,155.00,3.50,2.26,0.25,2026-02-07,30,2026-02-02,YES,25
11,GOOG,160.00,2.80,1.75,0.20,2026-02-07,30,2026-02-02,YES,25
12,GOOG,165.00,2.10,1.27,0.15,2026-02-07,30,2026-02-02,YES,25
13,GOOGL,155.00,3.50,2.26,0.25,2026-02-07,30,2026-02-02,YES,25
14,GOOGL,160.00,2.80,1.75,0.20,2026-02-07,30,2026-02-02,YES,25
15,GOOGL,165.00,2.10,1.27,0.15,2026-02-07,30,2026-02-02,YES,25
16,META,155.00,3.50,2.26,0.25,2026-02-07,30,2026-01-30,YES,22
17,META,160.00,2.80,1.75,0.20,2026-02-07,30,2026-01-30,YES,22
18,META,165.00,2.10,1.27,0.15,2026-02-07,30,2026-01-30,YES,22
19,MSFT,155.00,3.50,2.26,0.25,2026-02-07,30,2026-01-28,YES,20
20,MSFT,160.00,2.80,1.75,0.20,2026-02-07,30,2026-01-28,YES,20
21,MSFT,165.00,2.10,1.27,0.15,2026-02-07,30,2026-01-28,YES,20
22,NVDA,155.00,3.50,2.26,0.25,2026-02-07,30,2026-01-18,YES,10
23,NVDA,160.00,2.80,1.75,0.20,2026-02-07,30,2026-01-18,YES,10
24,NVDA,165.00,2.10,1.27,0.15,2026-02-07,30,2026-01-18,YES,10
25,TSLA,155.00,3.50,2.26,0.25,2026-02-07,30,2026-01-26,YES,18
26,TSLA,160.00,2.80,1.75,0.20,2026-02-07,30,2026-01-26,YES,18
27,TSLA,165.00,2.10,1.27,0.15,2026-02-07,30,2026-01-26,YES,18
